Timestamp,Score,"The hairdresser was nice, but she cut off a little too much hair than I would have liked. The shampoo smelled great though, so overall it was an okay experience. ",service was good. interior was nice. waitress named Beckie was extra friendly. overall best place for brunch in the valley,"""Hipster,Trendy"" ????-I think NOT !!!! Very disappointing......weird crowd ( older men on the prowl? ) , and unfriendly bartenders w/ lots of attitude. I've given this a few tries thinking I just hit it on a bad night , but won't be going back. So many other great places in Scottsdale to visit !","No complains here, the burgers were great!!","My husband & I have been going to one Zipp's or another around town for the last 7 years...we currently live near the Old Town location...always our 'go to' place to eat during the week when we don't feel like fixing dinner at home. It's your typical sports bar with a bit better food selection. You can't find a big 32oz beer for $4 ($3.50 @ happy hour) anywhere around town & their onion rings are outstanding, you can order 1/2 & 1/2 ...fries & onion rings with your burger or sandwich. We have never had an issue with the wait staff at any of the 3 different locations we have visited. The new boneless buffalo chicken skewers are fabulous & on special when regular wings are. Happy Hour M-F 3-7pm $5 Wings & other stuff Plus nightly specials 8pm-close & Weekend specials 11a-4p We love Zipp's!!",Perfect place for a hot summer day.  Amazing paletas!  Friendly staff and fresh ingredients.  Welcoming environment in downtown Chandler.,"I personally like this Fry's. I think most of the people that work there are extremely friendly. I go there once or twice a week and I'm always greeted with a smile. A few of them even ask me where I've been if I haven't been in for awhile and ask me how I'm doing. Complaing about a grocery store being crowded doesn't make sense to me since that means people like shopping there. They have no control of it being crowded. If you don't like it crowded, go across the street to Safeway where there is no one shopping there. Then you will see a difference of why Fry's is better. Why is it so busy? Because it has better deals and everyone wants to shop there. It's a positive thing. You can either deal with it being crowded once in awhile and save money or go to Safeway across the street where you will be the only shopper and get ripped off. You have options.",What did I just experience? I have never been more disrespected for in my life. The waitress messed up my order 5 times. I told her I was allergic to peanuts and lo and behold there was still a sprinkle of peanuts on top of the freaking noodles. If I ate that I would have sued them for basically trying to kill me. ,Wow! My nails have never looked this pretty like this place is a freaking hidden gem. I am definitely gonna bring my girlfriends here. Like the intricate designs are unmatched I have never ever seen another place do manicures like this,"Successfully blending the idea of bar food and airline food into one very disappointing meal. A poor choice for breakfast due to mealy/watery eggs, cold potatoes and bland salsa. Even the grapefruit juice lacked flavor."
3/22/2021 20:39:59,,Real,Real,Real,Real,Real,Real,Real,Real,Real,Real
3/22/2021 20:52:24,,Real,Fake,Real,Real,Real,Real,Real,Fake,Real,Real
3/22/2021 20:57:54,,Real,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Real
3/22/2021 21:10:20,,Real,Fake,Real,Real,Fake,Real,Fake,Real,Fake,Real
3/22/2021 21:10:24,,Real,Real,Fake,Real,Fake,Real,Fake,Fake,Real,Real
3/22/2021 21:58:17,,Real,Fake,Real,Real,Fake,Fake,Fake,Real,Real,Real
3/22/2021 23:49:35,,Real,Fake,Real,Real,Real,Real,Real,Real,Real,Fake
3/22/2021 23:49:39,,Fake,Real,Real,Real,Fake,Real,Real,Fake,Fake,Fake
3/23/2021 0:55:54,,Real,Fake,Real,Fake,Real,Fake,Real,Real,Fake,Real
3/23/2021 1:39:59,,Real,Real,Real,Real,Fake,Real,Fake,Real,Real,Real
3/23/2021 3:24:50,,Real,Fake,Real,Real,Fake,Real,Fake,Real,Fake,Real
3/23/2021 9:13:17,,Fake,Fake,Real,Fake,Real,Real,Real,Fake,Fake,Real
3/23/2021 20:16:32,,Fake,Real,Real,Fake,Real,Fake,Fake,Real,Fake,Fake
3/23/2021 20:24:13,,Real,Fake,Real,Real,Real,Real,Real,Fake,Real,Real
3/23/2021 20:26:16,,Real,Real,Fake,Fake,Fake,Real,Fake,Fake,Real,Real
3/23/2021 20:30:57,,Fake,Real,Fake,Real,Real,Real,Real,Real,Real,Real
3/23/2021 20:37:00,,Real,Fake,Fake,Real,Real,Real,Fake,Real,Fake,Real
3/23/2021 20:42:12,,Real,Real,Real,Real,Real,Fake,Real,Real,Fake,Real
3/23/2021 20:43:15,,Real,Real,Real,Fake,Real,Fake,Real,Real,Real,Real
3/23/2021 20:47:29,,Real,Real,Real,Real,Fake,Fake,Real,Real,Real,Real
3/23/2021 21:06:47,,Real,Real,Real,Real,Fake,Real,Fake,Real,Real,Real
3/23/2021 21:10:36,,Fake,Real,Real,Fake,Fake,Fake,Real,Real,Real,Real
3/23/2021 21:33:41,,Real,Fake,Real,Real,Fake,Real,Fake,Real,Fake,Real
3/23/2021 21:56:47,,Real,Fake,Real,Real,Real,Real,Real,Real,Real,Real
3/23/2021 22:05:22,,Real,Real,Fake,Fake,Fake,Real,Real,Fake,Real,Fake
3/23/2021 22:21:06,,Real,Real,Fake,Real,Fake,Real,Real,Fake,Fake,Real
